iter	Passed	Remaining
417	3260	2979
418	3269	2973
419	3277	2965
420	3285	2957
421	3292	2948
422	3301	2942
423	3320	2944
424	3335	2942
425	3344	2936
426	3352	2928
427	3361	2921
428	3370	2914
429	3379	2908
430	3385	2898
431	3393	2891
432	3398	2880
433	3406	2872
434	3414	2864
435	3421	2856
436	3429	2848
437	3437	2841
438	3443	2831
439	3451	2823
440	3458	2815
441	3465	2807
442	3476	2801
443	3482	2791
444	3491	2785
445	3499	2777
446	3506	2769
447	3516	2762
448	3525	2755
449	3541	2754
450	3555	2751
451	3561	2741
452	3569	2733
453	3575	2724
454	3583	2717
455	3592	2710
456	3600	2702
457	3615	2699
458	3639	2704
459	3644	2693
460	3651	2685
461	3658	2676
462	3665	2667
463	3672	2659
464	3679	2650
465	3685	2641
466	3692	2632
467	3699	2624
468	3705	2615
469	3712	2606
470	3719	2597
471	3726	2589
472	3737	2583
473	3741	2573
474	3748	2565
475	3756	2556
476	3767	2551
477	3774	2542
478	3781	2533
479	3787	2525
480	3792	2515
481	3802	2508
482	3809	2500
483	3814	2490
484	3822	2482
485	3830	2474
486	3836	2465
487	3844	2458
488	3851	2449
489	3859	2441
490	3866	2433
491	3873	2425
492	3882	2417
493	3891	2410
494	3898	2401
495	3906	2394
496	3912	2385
497	3918	2376
498	3928	2369
499	3936	2362
500	3945	2354
501	3954	2347
502	3964	2340
503	3968	2330
504	3978	2324
505	3985	2315
506	3991	2306
507	3998	2298
508	4005	2289
509	4013	2281
510	4020	2273
511	4028	2266
512	4035	2257
513	4042	2249
514	4048	2240
515	4055	2232
516	4061	2223
517	4067	2214
518	4073	2205
519	4079	2196
520	4086	2188
521	4109	2188
522	4115	2179
523	4123	2171
524	4130	2163
525	4136	2154
526	4140	2145
527	4149	2137
528	4162	2132
529	4168	2123
530	4189	2122
531	4193	2112
532	4197	2102
533	4205	2095
534	4211	2085
535	4218	2077
536	4226	2069
537	4230	2060
538	4237	2052
539	4244	2043
540	4250	2035
541	4258	2027
542	4266	2019
543	4272	2010
544	4275	2000
545	4282	1992
546	4289	1984
547	4295	1975
548	4302	1967
549	4309	1958
550	4315	1950
551	4323	1942
552	4327	1932
553	4334	1924
554	4341	1916
555	4348	1908
556	4356	1900
557	4360	1891
558	4367	1883
559	4375	1875
560	4381	1866
561	4384	1856
562	4388	1847
563	4396	1839
564	4403	1831
565	4409	1823
566	4417	1815
567	4424	1807
568	4430	1798
569	4435	1789
570	4443	1782
571	4452	1774
572	4458	1766
573	4465	1758
574	4475	1751
575	4481	1742
576	4490	1735
577	4497	1727
578	4503	1719
579	4511	1711
580	4520	1703
581	4527	1695
582	4534	1687
583	4541	1679
584	4546	1671
585	4553	1662
586	4560	1654
587	4566	1646
588	4574	1638
589	4581	1630
590	4588	1622
591	4595	1614
592	4602	1606
593	4608	1598
594	4615	1590
595	4622	1582
596	4629	1574
597	4638	1566
598	4644	1558
599	4650	1550
600	4658	1542
601	4665	1534
602	4672	1526
603	4679	1518
604	4687	1510
605	4693	1502
606	4701	1494
607	4709	1487
608	4716	1479
609	4725	1471
610	4733	1464
611	4739	1456
612	4747	1448
613	4755	1440
614	4765	1433
615	4769	1424
616	4777	1417
617	4785	1409
618	4790	1400
619	4798	1393
620	4805	1385
621	4812	1377
622	4821	1369
623	4829	1362
624	4836	1354
625	4843	1346
626	4853	1339
627	4857	1330
628	4865	1322
629	4873	1314
630	4879	1306
631	4887	1299
632	4895	1291
633	4902	1283
634	4920	1278
635	4927	1270
636	4934	1262
637	4941	1254
638	4948	1246
639	4954	1238
640	4962	1230
641	4967	1222
642	4974	1214
643	4982	1206
644	4987	1198
645	4994	1190
646	5001	1182
647	5007	1174
648	5015	1166
649	5021	1158
650	5027	1150
651	5035	1142
652	5041	1134
653	5047	1126
654	5054	1118
655	5061	1111
656	5067	1103
657	5075	1095
658	5081	1087
659	5088	1079
660	5096	1071
661	5109	1065
662	5118	1057
663	5125	1049
664	5132	1042
665	5138	1033
666	5146	1026
667	5153	1018
668	5160	1010
669	5170	1003
670	5176	995
671	5184	987
672	5190	979
673	5198	971
674	5204	963
675	5210	955
676	5217	947
677	5223	939
678	5229	931
679	5239	924
680	5245	916
681	5251	908
682	5261	901
683	5266	893
684	5274	885
685	5281	877
686	5287	869
687	5291	861
688	5299	853
689	5306	845
690	5313	838
691	5320	830
692	5327	822
693	5335	814
694	5342	807
695	5350	799
696	5358	791
697	5368	784
698	5375	776
699	5379	768
700	5389	761
701	5395	753
702	5400	745
703	5410	737
704	5419	730
705	5425	722
706	5435	714
707	5443	707
708	5450	699
709	5458	691
710	5465	684
711	5472	676
712	5480	668
713	5487	660
714	5494	653
715	5503	645
716	5510	637
717	5517	630
718	5524	622
719	5532	614
720	5539	606
721	5547	599
722	5555	591
723	5562	583
724	5578	577
725	5586	569
726	5592	561
727	5600	553
728	5607	546
729	5613	538
730	5620	530
731	5628	522
732	5635	515
733	5642	507
734	5650	499
735	5657	491
736	5664	484
737	5673	476
738	5680	468
739	5685	460
740	5693	453
741	5702	445
742	5708	437
743	5716	430
744	5723	422
745	5730	414
746	5740	407
747	5746	399
748	5752	391
749	5759	383
750	5765	376
751	5772	368
752	5776	360
753	5783	352
754	5790	345
755	5795	337
756	5800	329
757	5809	321
758	5827	314
759	5837	307
760	5861	300
761	5879	293
762	5889	285
763	5901	278
764	5912	270
765	5921	262
766	5928	255
767	5936	247
768	5942	239
769	5949	231
770	5956	224
771	5963	216
772	5971	208
773	5979	200
774	5986	193
775	5993	185
776	6000	177
777	6006	169
778	6014	162
779	6020	154
780	6027	146
781	6035	138
782	6042	131
783	6058	123
784	6062	115
785	6071	108
786	6078	100
787	6084	92
788	6088	84
789	6096	77
790	6101	69
791	6108	61
792	6116	53
793	6122	46
794	6130	38
795	6136	30
796	6141	23
797	6148	15
798	6155	7
799	6161	0
